("port 2","X",1,"port 1",1,"transmission")
 1.930617617618e+014 1.000000000000e+000 0.000000000000e+000
 1.930618618619e+014 1.000000000000e+000 0.000000000000e+000
 1.930619619620e+014 1.000000000000e+000 0.000000000000e+000
 1.930620620621e+014 1.000000000000e+000 0.000000000000e+000
 1.930621621622e+014 1.000000000000e+000 0.000000000000e+000
 1.930622622623e+014 1.000000000000e+000 0.000000000000e+000
 1.930623623624e+014 1.000000000000e+000 0.000000000000e+000
 1.930624624625e+014 1.000000000000e+000 0.000000000000e+000
 1.930625625626e+014 1.000000000000e+000 0.000000000000e+000
 1.930626626627e+014 1.000000000000e+000 0.000000000000e+000
 1.930627627628e+014 1.000000000000e+000 0.000000000000e+000
 1.930628628629e+014 1.000000000000e+000 0.000000000000e+000
 1.930629629630e+014 1.000000000000e+000 0.000000000000e+000
 1.930630630631e+014 1.000000000000e+000 0.000000000000e+000
 1.930631631632e+014 1.000000000000e+000 0.000000000000e+000
 1.930632632633e+014 1.000000000000e+000 0.000000000000e+000
 1.930633633634e+014 1.000000000000e+000 0.000000000000e+000
 1.930634634635e+014 1.000000000000e+000 0.000000000000e+000
 1.930635635636e+014 1.000000000000e+000 0.000000000000e+000
 1.930636636637e+014 1.000000000000e+000 0.000000000000e+000
 1.930637637638e+014 1.000000000000e+000 0.000000000000e+000
 1.930638638639e+014 1.000000000000e+000 0.000000000000e+000
 1.930639639640e+014 1.000000000000e+000 0.000000000000e+000
 1.930640640641e+014 1.000000000000e+000 0.000000000000e+000
 1.930641641642e+014 1.000000000000e+000 0.000000000000e+000
 1.930642642643e+014 1.000000000000e+000 0.000000000000e+000
 1.930643643644e+014 1.000000000000e+000 0.000000000000e+000
 1.930644644645e+014 1.000000000000e+000 0.000000000000e+000
 1.930645645646e+014 1.000000000000e+000 0.000000000000e+000
 1.930646646647e+014 1.000000000000e+000 0.000000000000e+000
 1.930647647648e+014 1.000000000000e+000 0.000000000000e+000
 1.930648648649e+014 1.000000000000e+000 0.000000000000e+000
 1.930649649650e+014 1.000000000000e+000 0.000000000000e+000
 1.930650650651e+014 1.000000000000e+000 0.000000000000e+000
 1.930651651652e+014 1.000000000000e+000 0.000000000000e+000
 1.930652652653e+014 1.000000000000e+000 0.000000000000e+000
 1.930653653654e+014 1.000000000000e+000 0.000000000000e+000
 1.930654654655e+014 1.000000000000e+000 0.000000000000e+000
 1.930655655656e+014 1.000000000000e+000 0.000000000000e+000
 1.930656656657e+014 1.000000000000e+000 0.000000000000e+000
 1.930657657658e+014 1.000000000000e+000 0.000000000000e+000
 1.930658658659e+014 1.000000000000e+000 0.000000000000e+000
 1.930659659660e+014 1.000000000000e+000 0.000000000000e+000
 1.930660660661e+014 1.000000000000e+000 0.000000000000e+000
 1.930661661662e+014 1.000000000000e+000 0.000000000000e+000
 1.930662662663e+014 1.000000000000e+000 0.000000000000e+000
 1.930663663664e+014 1.000000000000e+000 0.000000000000e+000
 1.930664664665e+014 1.000000000000e+000 0.000000000000e+000
 1.930665665666e+014 1.000000000000e+000 0.000000000000e+000
 1.930666666667e+014 1.000000000000e+000 0.000000000000e+000
 1.930667667668e+014 1.000000000000e+000 0.000000000000e+000
 1.930668668669e+014 1.000000000000e+000 0.000000000000e+000
 1.930669669670e+014 1.000000000000e+000 0.000000000000e+000
 1.930670670671e+014 1.000000000000e+000 0.000000000000e+000
 1.930671671672e+014 1.000000000000e+000 0.000000000000e+000
 1.930672672673e+014 1.000000000000e+000 0.000000000000e+000
 1.930673673674e+014 1.000000000000e+000 0.000000000000e+000
 1.930674674675e+014 1.000000000000e+000 0.000000000000e+000
 1.930675675676e+014 1.000000000000e+000 0.000000000000e+000
 1.930676676677e+014 1.000000000000e+000 0.000000000000e+000
 1.930677677678e+014 1.000000000000e+000 0.000000000000e+000
 1.930678678679e+014 1.000000000000e+000 0.000000000000e+000
 1.930679679680e+014 1.000000000000e+000 0.000000000000e+000
 1.930680680681e+014 1.000000000000e+000 0.000000000000e+000
 1.930681681682e+014 1.000000000000e+000 0.000000000000e+000
 1.930682682683e+014 1.000000000000e+000 0.000000000000e+000
 1.930683683684e+014 1.000000000000e+000 0.000000000000e+000
 1.930684684685e+014 1.000000000000e+000 0.000000000000e+000
 1.930685685686e+014 1.000000000000e+000 0.000000000000e+000
 1.930686686687e+014 1.000000000000e+000 0.000000000000e+000
 1.930687687688e+014 1.000000000000e+000 0.000000000000e+000
 1.930688688689e+014 1.000000000000e+000 0.000000000000e+000
 1.930689689690e+014 1.000000000000e+000 0.000000000000e+000
 1.930690690691e+014 1.000000000000e+000 0.000000000000e+000
 1.930691691692e+014 1.000000000000e+000 0.000000000000e+000
 1.930692692693e+014 1.000000000000e+000 0.000000000000e+000
 1.930693693694e+014 1.000000000000e+000 0.000000000000e+000
 1.930694694695e+014 1.000000000000e+000 0.000000000000e+000
 1.930695695696e+014 1.000000000000e+000 0.000000000000e+000
 1.930696696697e+014 1.000000000000e+000 0.000000000000e+000
 1.930697697698e+014 1.000000000000e+000 0.000000000000e+000
 1.930698698699e+014 1.000000000000e+000 0.000000000000e+000
